date,price,prev_pos,action,new_pos,turnover,reward,portfolio_value,portfolio_ret,trade
2023-04-11,396.5210266113281,1.0,1.0,1.0,0.0,-0.0040761318169402205,0.9883983172116925,-0.0040761318169402205,HOLD
2023-04-12,394.9047546386719,1.0,1.0,1.0,0.0,0.013282753123802449,1.0015269680471972,0.013282753123802449,HOLD
2023-04-13,400.1501770019531,1.0,1.0,1.0,0.0,-0.00244277794568859,0.9990804600576392,-0.00244277794568859,HOLD
2023-04-14,399.1726989746094,1.0,1.0,1.0,0.0,0.0035882777879756578,1.0026654382808644,0.0035882777879756578,HOLD
2023-04-17,400.60504150390625,1.0,1.0,1.0,0.0,0.0006522421757981789,1.0033194189679264,0.0006522421757981789,HOLD
2023-04-18,400.8663330078125,1.0,1.0,1.0,0.0,-0.00016893038971688146,1.0031499278274696,-0.00016893038971699248,HOLD
2023-04-19,400.7986145019531,1.0,1.0,1.0,0.0,-0.005457015637038709,0.9976757229850208,-0.005457015637038709,HOLD
2023-04-20,398.6114501953125,1.0,1.0,1.0,0.0,0.0007767748455407286,0.9984506923906422,0.0007767748455407286,HOLD
2023-04-21,398.92108154296875,1.0,1.0,1.0,0.0,0.0010431579441800842,0.9994922341622816,0.0010431579441800842,HOLD
2023-04-24,399.33721923828125,1.0,1.0,1.0,0.0,-0.015873775226621367,0.983626519096436,-0.015873775226621367,HOLD
2023-04-25,392.99822998046875,1.0,1.0,1.0,0.0,-0.004235594900544037,0.9794602756281112,-0.004235594900544037,HOLD
2023-04-26,391.3336486816406,1.0,1.0,1.0,0.0,0.01990810265221188,0.9989594713390794,0.01990810265221188,HOLD
2023-04-27,399.1243591308594,1.0,1.0,1.0,0.0,0.008535072084298267,1.007485662436251,0.008535072084298267,HOLD
2023-04-28,402.5309143066406,1.0,1.0,1.0,0.0,-0.0010096183260623892,1.00646848644821,-0.0010096183260625002,HOLD
2023-05-01,402.12451171875,1.0,1.0,1.0,0.0,-0.011239361618163302,0.9951564231717331,-0.011239361618163302,HOLD
2023-05-02,397.6048889160156,1.0,1.0,1.0,0.0,-0.006864068042923943,0.9883256017697295,-0.006864068042923943,HOLD
2023-05-03,394.8757019042969,1.0,1.0,1.0,0.0,-0.00708284776433199,0.9813254419908027,-0.00708284776433199,HOLD
2023-05-04,392.078857421875,1.0,1.0,1.0,0.0,0.01851250502037738,0.9994922341622815,0.01851250502037738,HOLD
2023-05-05,399.33721923828125,1.0,1.0,1.0,0.0,0.00026678421169346045,0.9997588829100662,0.00026678421169346045,HOLD
2023-05-08,399.4437561035156,1.0,1.0,1.0,0.0,-0.004385370800291222,0.9953745694976206,-0.004385370800291222,HOLD
2023-05-09,397.6920471191406,1.0,1.0,1.0,0.0,0.004672267883547132,1.0000252261307838,0.004672267883547132,HOLD
2023-05-10,399.5501708984375,1.0,1.0,1.0,0.0,-0.0017439045068687875,0.9982812776319518,-0.0017439045068687875,HOLD
2023-05-11,398.8533935546875,1.0,1.0,1.0,0.0,-0.001310442806788381,0.9969730871125275,-0.001310442806788381,HOLD
2023-05-12,398.3307189941406,1.0,1.0,1.0,0.0,0.0034501433863134423,1.0004127872153612,0.0034501433863134423,HOLD
2023-05-15,399.70501708984375,1.0,1.0,1.0,0.0,-0.006682632013018663,0.9937273966972826,-0.006682632013018663,HOLD
2023-05-16,397.033935546875,1.0,1.0,1.0,0.0,0.012138885694766621,1.0057901399775488,0.012138885694766621,HOLD
2023-05-17,401.8534851074219,1.0,1.0,1.0,0.0,0.009633325194876807,1.0154792434737532,0.009633325194876807,HOLD
2023-05-18,405.72467041015625,1.0,1.0,1.0,0.0,-0.0014552321489040843,1.0140014854321053,-0.0014552321489040843,HOLD
2023-05-19,405.1342468261719,1.0,1.0,1.0,0.0,0.0004061635927821161,1.0144133359185148,0.0004061635927821161,HOLD
2023-05-22,405.2987976074219,1.0,1.0,1.0,0.0,-0.011222867002825376,1.0030287099636088,-0.011222867002825376,HOLD
2023-05-23,400.75018310546875,1.0,1.0,1.0,0.0,-0.007244789777960059,0.995761977818664,-0.007244789777960059,HOLD
